Date,Timestamp,SPT Score,TVL,Fees,Volume
2025-07-26,1753488000,0.578673475054957,8026900,145763,0
2025-07-27,1753574400,0.5146170818403922,7838362,126583,0
2025-07-28,1753660800,0.6270820819528877,7770796,152917,0
2025-07-29,1753747200,0.6681731002169222,7749323,162487,0
2025-07-30,1753833600,1,7748399,243152,0
2025-07-31,1753920000,0.9673454132627525,7714733,234190,0
2025-08-01,1754006400,0.7398633773458663,7772852,180467,0
2025-08-02,1754092800,0.4645303750706565,7769837,113264,0
2025-08-03,1754179200,0.5228583553084689,7774298,127559,0
2025-08-04,1754265600,0.4733659843916311,7785836,115656,0
2025-08-05,1754352000,0.4588977687760902,7796042,112268,0
2025-08-06,1754438400,0.4785858110360666,7722025,115973,0
2025-08-07,1754524800,0.482021156617665,7733960,116986,0
2025-08-08,1754611200,0.45941238716394306,7738824,111569,0
2025-08-09,1754697600,0.4212543547380073,7849929,103771,0
2025-08-10,1754784000,0.4085554459863664,7946820,101885,0
2025-08-11,1754870400,0.4065862001694005,7945808,101381,0
2025-08-12,1754956800,0.431895681519795,8077227,109473,0
2025-08-13,1755043200,0.507008781408122,8088604,128693,0
2025-08-14,1755129600,0.42268902912397494,8111953,107600,0
2025-08-15,1755216000,0.5529747613727943,8102812,140607,0
2025-08-16,1755302400,0.46257854235040313,8147410,118269,0
2025-08-17,1755388800,0.6114817072364718,8144931,156292,0
2025-08-18,1755475200,0.5753531394289224,8158628,147305,0
2025-08-19,1755561600,0.49429693800570096,8126358,126052,0
2025-08-20,1755648000,0.6421358558245875,8131380,163854,0
2025-08-21,1755734400,0.565914918053825,8140126,144560,0
2025-08-22,1755820800,0.48650870736915963,8145163,124353,0
2025-08-23,1755907200,0.5480478282316061,8152456,140208,0
2025-08-24,1755993600,0.5007081815278803,8103068,127321,0
2025-08-25,1756080000,0.5112651795727776,8104411,130027,0
2025-08-26,1756166400,0.5326853128759932,8125549,135828,0
2025-08-27,1756252800,0.5652820280984198,8135372,144314,0
2025-08-28,1756339200,0.5843051347121732,8131090,149092,0
2025-08-29,1756425600,0.49718831251600226,8128131,126817,0
2025-08-30,1756512000,0.43795868362870793,8108020,111433,0
2025-08-31,1756598400,0.47801840314288707,8108641,121635,0
2025-09-01,1756684800,0.5008702055738755,8098220,127286,0
2025-09-02,1756771200,0.47755373680058827,8079363,121078,0
2025-09-03,1756857600,0.7595778764859176,8082349,192653,0
2025-09-04,1756944000,0.5720705028115658,8090471,145241,0
2025-09-05,1757030400,0.6157194563894638,8094514,156401,0
2025-09-06,1757116800,0.5506914228048303,8101689,140007,0
2025-09-07,1757203200,0.7163844083844693,8103266,182168,0
2025-09-08,1757289600,0.509062599331722,8035000,128358,0
2025-09-09,1757376000,0.4224746740140857,8036643,106547,0
2025-09-10,1757462400,0.4091302185377654,8036677,103182,0
2025-09-11,1757548800,0.5645603529730727,8037849,142402,0
2025-09-12,1757635200,0.5477388248181618,8070835,138726,0
2025-09-13,1757721600,0.48794201731785336,8081595,123746,0
2025-09-14,1757808000,0.5529438973643219,7763993,134720,0
2025-09-15,1757894400,0.5599409588893867,7791892,136915,0
2025-09-16,1757980800,0.631752706486625,7790420,154445,0
2025-09-17,1758067200,0.5800770633591528,7762413,141302,0
2025-09-18,1758153600,0.48627871048483123,8044493,122758,0
2025-09-19,1758240000,0.6076351954763116,7675203,146352,0
2025-09-20,1758326400,0.5989701792582277,7688185,144509,0
2025-09-21,1758412800,0.6129429362337749,7677158,147668,0
2025-09-22,1758499200,0.5687310468117445,7695949,137352,0
2025-09-23,1758585600,0.5860288796854298,7689993,141420,0
2025-09-24,1758672000,0.46371263656678513,7691591,111926,0
2025-09-25,1758758400,0.4860770715800717,7686865,117252,0
2025-09-26,1758844800,0.5463027842223017,7662383,131360,0
2025-09-27,1758931200,0.5201099056911859,7671705,125214,0
2025-09-28,1759017600,0.46881791891274005,7656228,112638,0
2025-09-29,1759104000,0.49194327243262675,7605826,117416,0
2025-09-30,1759190400,0.5757266282692793,7609632,137482,0
2025-10-01,1759276800,0.5818759372544818,7622423,139184,0
2025-10-02,1759363200,0.6987418794609657,7630441,167314,0
2025-10-03,1759449600,0.6923827476237313,7645477,166118,0
2025-10-04,1759536000,0.5908378483721375,7664671,142111,0
2025-10-05,1759622400,0.4567191527405133,7641844,109525,0
2025-10-06,1759708800,0.5356138463860363,7574222,127308,0
2025-10-07,1759795200,0.5079787310502336,7544392,120264,0
2025-10-08,1759881600,0.5491427837964012,7539193,129920,0
2025-10-09,1759968000,0.6561071977407055,7445242,153292,0
2025-10-10,1760054400,0.4385938974423161,7395292,101785,0
2025-10-11,1760140800,0.4729125745181093,7140692,105971,0
2025-10-12,1760227200,0.49796237048243663,7113290,111156,0
2025-10-13,1760313600,0.47967017452102756,7123668,107229,0
2025-10-14,1760400000,0.5043535040593458,7138965,112989,0
2025-10-15,1760486400,0.4852968987809815,7136680,108685,0
2025-10-16,1760572800,0.4686698521452135,7147812,105125,0
2025-10-17,1760659200,0.5237813520749697,7149346,117512,0
2025-10-18,1760745600,0,6899058,0,0
2025-10-19,1760832000,0.6106773646198446,6914923,132515,0
2025-10-20,1760918400,0.5078606839208614,6928971,110428,0
2025-10-21,1761004800,0.49739077778441537,6924906,108088,0
2025-10-22,1761091200,0.6583394741408131,6900328,142556,0
2025-10-23,1761177600,0.6627121707392256,6903268,143564,0